month,category_title,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,Unnamed: 0
June,Pets & Animals,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
June,Science & Technology,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,102,110
June,Shows,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
June,Sports,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
June,Travel & Events,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
March,Autos & Vehicles,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
March,Comedy,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524
March,Education,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328,328
March,Entertainment,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1517,1537
March,Film & Animation,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,332,337
March,Gaming,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
March,Howto & Style,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
March,Music,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,809,810
March,News & Politics,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,193,195
March,People & Blogs,508,508,508,508,508,508,508,508,508,508,508,508,508,508,508,489,508
March,Pets & Animals,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
March,Science & Technology,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
March,Sports,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334
March,Travel & Events,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
May,Autos & Vehicles,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
May,Comedy,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
May,Education,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207
May,Entertainment,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1695,1701
May,Film & Animation,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355
May,Gaming,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
May,Howto & Style,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617
May,Music,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121,1121
May,News & Politics,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276
May,Nonprofits & Activism,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
May,People & Blogs,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401,357,401
May,Pets & Animals,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
May,Science & Technology,336,336,336,336,336,336,336,336,336,336,336,336,336,336,336,316,336
May,Shows,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
May,Sports,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,323,332
May,Travel & Events,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
November,Autos & Vehicles,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
November,Comedy,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
November,Education,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
November,Entertainment,790,790,790,790,790,790,790,790,790,790,790,790,790,790,790,782,790
November,Film & Animation,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
November,Gaming,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
November,Howto & Style,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319,319
November,Music,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,610,613
November,News & Politics,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,204,221
November,Nonprofits & Activism,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
November,People & Blogs,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,226,247
November,Pets & Animals,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
November,Science & Technology,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,234,237
November,Sports,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,174,195
November,Travel & Events,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
